,0
0,4
1,3
2,4
3,3
4,4
5,3
6,4
7,3
8,4
9,3
10,4
11,3
12,4
13,3
14,4
15,3
16,4
17,3
18,4
19,3
20,4
21,3
22,4
23,3
24,4
25,3
26,4
27,3
28,4
29,3
30,4
31,3
32,4
33,3
34,4
35,3
36,4
37,3
38,4
39,3
40,4
41,3
42,4
43,1
44,4
45,3
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,2
124,0
125,2
126,1
127,2
128,0
129,2
130,0
131,2
132,1
133,2
134,0
135,2
136,0
137,2
138,0
139,2
140,0
141,2
142,1
143,2
144,0
145,2
146,0
147,2
148,0
149,2
150,0
151,2
152,0
153,2
154,0
155,2
156,0
157,2
158,0
159,2
160,0
161,2
162,0
163,2
164,0
165,2
166,0
167,2
168,0
169,2
170,0
171,2
172,0
173,2
174,0
175,2
176,0
177,2
178,0
179,2
180,0
181,2
182,0
183,2
184,0
185,2
186,0
187,2
188,0
189,2
190,0
191,2
192,0
193,2
194,0
195,2
196,0
197,2
198,0
199,2
